user,bot
بهم گف دوست دارم بعد دیگ ندیدمش🚶‍♀,😪😂😂😑
درهم برهم کث پرتاب میشع,😐😒
🚶‍♀ادب!,بی ادب من اصن تو ماجرا نیسم ک اهمیت بدم😐👩🏿‍🦼
درک,😒😐
🚶‍♀هی خدا,سلن
🚶‍♀🚶‍♀🚶‍♀,😂😁🤦‍♂️
خودمو بغل میکنم ولی دگ بوی ت نمیاد🚶‍♀,بع ماعم یاد بدن😐😹
- رل !,Mnm khub
Ajab😐,😒😒
➖🔪,Rjb/:
یکی بیاد پی ج ح,😂😂👌
👨🏽‍🦽🥀,بیا دخالت کنیم بخندیم😐😂
حوصله پوکید بای \nلفت,😐😒ژونن
🚶🏻‍♀,😐🚶‍♂عجب
رل بااصالت متعهد پی !,😎
یع دخترم نی بگ روت کراشم🥺😂,Rjb😹
نمیکنم باورش🚶‍♀,بپر ت بحث😂😂
بگو همچیو یادته🚶‍♀,ولی خواستی سرتو بکنی تو کیونشون دیگ/:🤷😂
🤦‍♂🚶‍♂,😒😒
نگو اوضاعت راحته🚶‍♀نمیکنم باورش,داش ادم باش:/
Ajab😐,خوبی
- اونایی ک طُ دنبالشونی اینجا نیصدن,خلت نیف
نشد ببرمت ترو اع یادم🚶‍♀,😒😒
هوف,دانم ولی اون خنده داره🙁😂
این استیک لنتیو وا کنین/:,Rjb/:
بببب,چیه این
🚶‍♀,😒😐
🚶‍♀🚶‍♀🚶‍♀,😹😹😹😹
چقد خستم🚶‍♀,😑بابا اصن اه
- اونایی ک اینجان عَ تنهایی اینجان,🙄🙄🙄🙄🙄🙄
خابم میادا,کجا
🚶🏻‍♀,داش جنبه داشته باش/:🌹
ولی نمیاد,😒😐
🚶🏻‍♀,نمیدونم
/////:,های
😐,سلام
🚶🏻‍♀,سلوم
👨🏽‍🦽🥀,خوبی
Ajab😐,😐😒
🚶‍♀بری همچی یادم‌نیمره,پریدم😂
👨🏽‍🦽🥀,چطوری
رجب😐🚶‍♀,باشه پس من فوش ننه میدم جنبه داشه باش حله؟
🚶‍♀-,خوبی
خیلی پلنگه,😂😂افرین امونشون نده
=||||||||||,ممنون تو خوبس اصل پلیز
خداوندا,فدات
بکرمت,عالی تو خوبی
دلبر مو فرفری پی !👩🏿‍🦼,کوفت باید بدونی
ب,ت گپه😐
کراش بزنید کراش بزنم🚶‍♀,پلنگ چش قشنگع!=//
🚶‍♀هوف,فدات \n۲۲کرج \nوشما
رجب😐🚶‍♀,خوب است
دو صفر هفتادو چار,بزنمت🤨
سلام,از اینا همش واس شماها هصد_😂
"🚶‍♀\n⁶\""¹²",فدات منم ۲۲ ماهات کرج
شب بخیر,حرف نمیزنی😐
🚶‍♀,تموم شده😕😂
- ولی بازم با ی اک دیگ,😂seda TV hm drd dre
Ajab😐,وا خودت بیا بخورش😂😂😂💚
🚶🏻‍♀,محض اطلاع بود\nک بخودت نری ب خودت بیای از خواب زمستونی بیدار شی/:🤷😂
👨🏽‍🦽🥀,Jarooo :)
سلام,اینم شانس مایه !
- بیخ,حالت خوبه😐
Ajab😐,پی ج نمیدم_
🚶‍♀🍀,ار
🚶🏻‍♂🚶🏻‍♂🚶🏻‍♂🚶🏻‍♂,Bezanm rot?:(
🚶‍♂🚶‍♂🚶‍♂,اووف😐
Ajab😐,هی🚶‍♀
🚶🏻‍♀,باش نریپ
🚶🏻🥬,شما کی باشی!
🚶🏻‍♀,شعبه زده؟😂😐
👨🏽‍🦽🥀,Alaghe ziadi dare Sob ha roshan beshe😂😂😂
🚶‍♀,عا کثافط😂😐
سلام,رجب=/
یکی ک کراش بزنم روش:(,😂کسخل چپه زده
تُف,😒😐
کراش زدم رف کراش زد🚶‍♀,تیف
🚶‍♀,همتا_
🚶🏻‍♀,بدرک
:(,Slmti
=//🚶‍♀,😐😐
🚶🏿🥬,ماهلین
➖🔪,حواسش نبوده دخترا به هم میگن😐😂
ما رفتیم فعلا بای,نخوری ب در😁😂
🚶🏿🥬,شکر
🚶🏿🥬,😐😐
🚶🏿🥬,کوفتو صحیح
ط گوش نده !,ها😐
:(:,😐😐
🕳🚶‍♀,😒😒زهر مار
🚶‍♀من میگم خوبم ت باور نکن باز بغلم کن,اوهوم صحیح!
جالبع,مالک!
سلاممم,کجا میری تو
🚶🏿🥬,هوم
🚶🏿🥬,😐😐
🚶🏿🥬,😐😐
🚶‍♀,اووووف😐😒
حالم از همتون خشم میا!🚶🏻‍♂,عا !👩🏿‍🦼
Khubi,😒😒من بهت چی گفتم بلاکم کردی
🚶‍♀🚶‍♀🚶‍♀,خوردم=//🚶‍♀
عجب!,چه غلطا
سلام,زدیم اقاا زدیم😁
🚶‍♀کراش بزنید روم,تُف
- بِ دَرَک!,نمد چرا هرچی مینویسم پاک میشه\nاه/:
😐😑\nپلنگه ام ویس دادع ؟؟؟,کراش بزنید روم🚶‍♀
سلام,asl
سلام اسم دخترونه\n\n\n\n\n\n\n\nماهور\nهانا\nماهلین\nهمتا\n\n\nکدومش قشنگتره ممنونم عزیزان💙❤️؟,bya pv
➖🔪,آفرین ب تو  دختر وروجک😜
🚶‍♀,الان ک میگی رل پی😐😒 عقشت کجا بود
سلام,جدی
خوبین,- صیگارع خونی شد چ خُب شد🤤
کراش بزنید کراش بزنم🚶‍♀,🚶🏻🥬
:(:,😐😐اخه من چی 🤣گفتم بهش اخه دیوانس جذاب چییه
🚶‍♀-\nرل هودی پوش,Fitere htmn ye Kamale k minvisi
🤧😕,من 3.4تا باهم میزنم
ولی جدا اع شوخی اع پسرای گنگ خشم میاد🚶‍♀,شبت خوش
➖🔪,بسلامتی
سلام,🚶‍♀کی بدش میاد😂
Snap chat,سلام
Ajab😐,خوبی
چ زود شد 6 😐,فدا ت خوبی
- چی بخورم خونش بند بیاد!\nتُف,کراش شما معتبر نیی🚶‍♀
یکی ک جم کنیم بریم :/,Rjb/:
🚶🏻‍♀,کسی ک داره فوش میده شعورشو نداره،و داره شخصیتشو ثابت میکنه،و واس من یا هر کس دیگ اصن اون طرف ادم حساب نمیشه/:🤷
رل متعهد پی !👩🏿‍🦼,خوبی
س,با انیشتین رلی،
شب شیک,Brim jayi ke hichki nbashe!
لف,یعنی الان تو شعور و شخصیت نداشتی و فرفری نباید ادم حسابت میکرد ؟
بای,😈
کراش زدم🚶‍♀,آبروم رف🥺😂چرا به روم میاری ؟
یاد تولدت ک میکردیم شمعو ما فوت,نه
🚶‍♂,اره
سلامممم,Nmidoonm
🚶🏻😐,برو دیگع نمیخام ببینمت😢😢💔💔
کراش بزنید🚶‍♀,نمیارم ریا نشع🥺😂😂👐
😂🤙,🚶‍♀👐
:(:,Chra bche ro atayesh kardan😕
🚶‍♀کراش زدم,بخوبیت 😹
بچهاع رو این کراش نزنین دیوونس😂😂😂,خودش بند میاد 🚶🏻‍♀
من فعلا رل ندارم وختر تو پی زیاد هس دروغ ندارم بگم ولی رل ندارم,ن دیگ منم فوش میدم به مادرت بعد میگم شوخی بود اونموقع ام هم شخصیت دارم هم شعور هم ادم حساب میشم:)
سلام,تا حالا چندبار این بلا سرم اومده\nخیلی بدععع:|🤦🤦😂
😂😐,- نمیاد با حالم بهم خورد
Ahom k dzdin:(,Injori krsht nmifme bro bsh bgo//:🍬
کاری ندارید,بلن ش بریم دگ!
کراش بزنید روم🚶‍♀,فرفریم !
ماشالا ماشالا ب عروس و دوماد =//,Ro dokhtar bezan
بای☹️,😂😂😂bgo vip bznn barat
کراش زدم🚶‍♀,مجتبی🙄
🚶🏻‍♀️,قربونت چخبر
ولی کراش داره🚶‍♀,چش سوم انیشتین 🤤
:(:,همینکارو کردم !
کراش بزنید روم🚶‍♀,خوش😂🤦‍♂
😒😒😒,سلامتی
کات,عا😂
slm,اوه پنبه چیزی روش بزار محکم فشار بده بند میار🚶🏻‍♀
👨🏽‍🦽🥀,سلام خوبی خوبم
کراش بزنید روم🚶‍♀,خودت ادیتش زدی؟
از اولم نمیخاس بره !,Slm
➖🔪,اصل میدی
🚶‍♀کراش زدم,کات
☄🚶‍♂️,-
😐,- ممنون !
🚶‍♀,:((
☄🚶‍♂️,کاری نکردم! 🚶🏻‍♀
🙁🙁,بای😒
شایدم خاص از زبون خدت بشنوع🙄😐🤣🚶‍♀,کراش کراش نک اینا بساطتو جمع کن بچه
"نفرت انگیزع\""-!",Chanta
اصن برو,خوشم یسنا ۲۳ته
کراشتون اومد🚶🏼‍♂,سلامت باشی😬اهل کجای فرفری..
صلام,اخه
☄🚶‍♂️,پروف دومت !!
ناح,😐💔
Aqa n,کیمیا 18زنجنان
🚶‍♀,منو ویژن کن اول\nباهات حرف دورم\nهی پاک میشههه/:
پرسیلم !,همینو بگو !
🚶🏻‍♀,Ajb:/
🚶🏻‍♀,بازم پاک شدددددد\n😐😐😐😐🤦🤦🤦
پریش🤨,دلم تنگت است دلبر !
لف داد😐😐,انگا رباتی🚶🏻‍♀
🚶🏻‍♀,منم ویژه نیسم کلمه ای ک فیلتره مثل گ*پ اینجوری بنویس یا بنویس گگگپپپ
بلی,خوش چه میکنی
اصل بده,خرمو!
🤦🏻‍♀,والا 🥺
🚶🏻‍♀,رهگذر بودم🚶🏼‍♂
🚶🏻‍♀🍂,😂
🚶‍♀لش ت کافه با هودی ست,چت بازی میکنی فرفری😶
- عاخیش,ن اخه هیچ کلمه فیلترم ب کار نبردم\nنمد واقعاا چراا/:::\nاهع
میمیری ریپ بزنی 🙄😐👐,Anm dnt:/
یفاعل بیاد پی,رلت بود؟
🚶‍♀هی,نه😐
خنگ,Slm
Please open the stickers/-! 😐,چیه پوکر شدی😐
🙄چه ربطی داش,پریش نوزدع تع😐😂
🚶🏻‍♀,سلام
سلام,Ohom robi
Chshat sfid mishe n chshm svm:/,خبی
کراش بزنید رومن🚶‍♀,په چرا پیگیرشی 😂
😐,رع\nولی واقعا خیلی چرته/:
:(:,خا خوش بختم
🚶‍♀🚶‍♀🚶‍♀🚶‍♀,و یو
😒,داشتم باش چت میکردم !
🚶‍♀,Gife nafaso nde
🚶🏻‍♀,"بیشور بای\"""
😐!,عز کنار برو👐
🚶‍♂,😂😂😐والا چن تایی افتادن روت😐😕
🚶‍♀هوف کراش بزنید رومن,عز کنارع🚶🏻‍♀
"نفرت انگیزع\""-!",Bos:/
N,To chi migi😐
گاذا,چی !!!😐
سلام,حالا همین یه بارو اشکال ندارع 😂
ی دخمل بیاد پی وی کارش دارم,گاذا
کراش بزنم؟,مجتبی
- بِ دَرَک!,گاذا
😐,همین ک پاک میشه هس دیگ😐🤦
🚶🏻‍♂️🚶🏻‍♂️🚶🏻‍♂️,ولی دیشب راجب گلشیفته باهات بحث کردم 😹
چقدر زر میزنی,عا ولشون کن🙁
Zirab zn,☹️
🚶🏿‍♀/-!,عاقا مجتبی🚶‍♀🍃
کراش بزنید رومن🚶‍♀,بلع یادمه😂
کراش بدرد نمیخورع!,تنکس
🚶‍♀کراش بزنید رومن,سلام‌اجی خوبی؟
جواب ما را بد هد,😒😒😒😒
سلام برادر,طخ/-! 😐😹
پرسیلم !,صلام
🚶‍♀کراش زدم ولی کراش نزد روم,چش\nتو خوبی
🚶‍♀کراش تویی,خوبه حداقل آلزایمر نداری 😹
پیف پیف,اشتبا ریپ زدی🤔
😐😐,سلام
اومد,🚶🏿‍♀ححیییی
وقتی همه پامیدن کراش دگ چیه🚶‍♀,خونه عمت ک نیومدی دگ
🚶🏻‍♂,خوبم عزیزم ط چطوری ؟ ^^
🚶🏼‍♀,تو اوردی😐
یِ لینکِ,🤞🏿😸
🚶‍♀کراش بزنید رومن,ارع
نمودین با کراش کراش کردنتون ایش_:/,اره مطمن شدیم سالمه
😐😐,دمت👀
🚶🏻‍♀👐,👍
:(:,یسناااا ۲۳
:(:,Khosh
دیونه شدم,یجور خالی ببند که ندید باشم پیما گپتو
ححیییی -🚶🏿‍♀🏜,سلاااام
🚶‍♀🚶‍♀🚶‍♀,سلام
:(:,زنمو
🚶‍♀🚶‍♀🚶‍♀,شکرش گلم\nفدا خوبم:)
کی اورد🤔,😕
🚶‍♀🚶‍♀🚶‍♀,عا😂😐
🚶‍♀🚶‍♀🚶‍♀,چی میخری برام
👨🏽‍🦽🥀,پرسیلمان را بدهید برویم !
😕,خوبی
پخخخ,خدتو نگیر باو پلش شوخی کردم
🚶🏼‍♀,صلام
اسکل فیک,شکر قشنگم !😍
سلام خوبین,خوبین
🚶‍♀🚶‍♀,پرشهوت پردود😢
کیح عاح مدرسه  نرفتنح😕,فدات تو خوبی
،سلام,روزا بخواب😜
خودشم که فلج نمیتون بر گردونم,سلام
پخخخ,چیع😂😂یاد بچگیام افتادم
🚶‍♀🚶‍♀🚶‍♀,چ بیشعور
🚶🏼‍♀,رفتی باید بره
🚶‍♀تیف,اون روزا ک فقد خدم پیش خدم میموند🚶🏼‍♂
مفعولم,خوب
صلام بکس😪,مگ اومدی خرید 🤨
سلام,اصلت چیه
یکی ک غیرتی باشه,اصل میدی
دلم لوازم ارایش جدید میخواد😐,ممنونم خوب صب بخیر .
سلام کسی هست شارژبفرسته تلفن ضروری دارم لطفا,عه بی ادب نمیگرمتا😂
Slm,😂😂😂نوچ
Nmrd,اره ت خبی
👨🏽‍🦽🥀,رح باو
سلام ثلام صلام😁,همچنین
سلم,چه زبونیه
🚶🏻‍♂,آناناس دوس داری بخرم واست؟
👨🏽‍🦽🥀,🤷🏻‍♀
S bx,توام نمیتونی تز ندی
بمیر,ب جهنم 😕دوبار
هولا ریختن پی تف🚶‍♀,نمیخام پی امارو خونده پرو شده😐🚶🏿‍♀
👨🏽‍🦽🥺,خبی
Khubin,زبون پریش
😕😕😕😕,فلن ک تو میخاری
رل پی,😂🚶🏿‍♀ححیییی \nعدامح بد ب تلاشت
شلام,اسمت چیه عزیز
هعی👩🏿‍🦼,- mamanm boln shode seda TV ro Gozoshte ru 100 v Gozoshte in shabake ta mn bidar shm 😐
بی یچی بت بگم,سیب بخور😊
یکی که همش دورش بگردم هست؟,😐
😂🚶🏿‍♀,په یه موز بردار برو
نیومدم ک نشی ! 😑😐,💋💋
سلام,🤦‍♂😶
👨🏽‍🦽🥀,مرسی تو خوبی
نامردا,حیف جواب سلامی که بهت دادم
/,شاخا رفتن مدرسه😂
😐😐,چه اسم جالبی
کسی اینج گیتار میزنه؟:|,بانو پریش
-- -. -.- .-. ..-. - --,خوبی
🚶🏻‍♀,- ژلوفن چی!
🚶🏻‍♀🚶🏻‍♀,🙂❤️
چرا🤔,سلام عزیز ببخشید
🚶🏻‍♀🚶🏻‍♀🚶🏻‍♀🚶🏻‍♀,معنی اسمتون چیه
🚶🌵,پص چی ددپوس داری
😭😭😭😭😭😭😭😭😭😭,ن ت چی🚶‍♂
🚶‍♀کراش بزنید روم,خوشم اسم گلم
😕😕😕😕😕🔥,دختر ماه  درخشنده
کراشم پی🚶‍♀,چش نیس👣
سلام,مرسی
من نمیتونم بخوابمممممممم,زدم👊
چن فقد خواسم حرفت زمین نخور لف دادم بد دیدم مهم نبود برم نگردوندی خودم برگشتم,خش
سلام کسی هست شارژبفرسته تلفن ضروری دارم لطفا,نمدونم!
کراشم پی🚶‍♀,علی رضا
عجب !,والاع هما رو هم کراشن من رو بازیگر ترکیع اد فقط ولیع🤤🤤🤤
سلام خانوم بالای۳۰هس,باحاله/:😂😂
/,😂🤭
سلام مریم ۲۳ اراک,BJa khordn sorkh kn mayei k toshe ro briz ro dndont
👐,انیشتینو دوس داری😅
رجب,هم عزیز🚶‍♂🚶‍♂
😐,عصلا
😐😐,- چیز صرد نخور بد تر میشِ
😐😐,می گن وقتی شبا خوابت نمی بره حتما کسی داره بهت فکر می کنه ‌زیادی زر زدن 😄
😐😐,یپ🤤🤘🏽
😐😐,و حتی اونایی ک بیست سالشون و بالاتر بود تو مجازی😂🤦🏻‍♀
Srm a dishb midrde !!🚶🏿‍♂,سحر خیز کی بودی تو😐😂
😐😐,پس الان در هر صورت باید خوابیده باشی/:
Slm,:/
🚶🏼‍♀,:|
دنیا دیگع مث من ندارع!🐕‍🦺🚶🏼‍♂,کی؟
من برم یه کف دسی بزنم بیام,فق ی مادرخراب میتونه ب ننه فوش بده😆\nخودتو ثابت کردی
🚶🏻🚶🏻,🖖
😐👩🏿‍🦼,اوک. ب تخمم🚶‍♂
🚶‍♂,الله اکبر
👨🏽‍🦽🥀,اون کیه؟😐
👩🏿‍🦼,معرفی میفرمایید لطفا
گشنمه👩🏿‍🦼,نریپ حست نی🚶‍♀
🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀,خسته شدم دیگ از ادمینی میشم ولی الان نه چون باید روزی چهار ساعت ان باشم نمیتونم
سلا,دراز کشیدم
اوپس/:,بخدا نمیدونم اینجور ک اینا کراش میزنن افتاب پرست رنگ عوض نمیکنع😐😂😂
فعلا بوس رو م مه هاتون,خش عزیز🚶‍♂
😐😒,عظیمیع
🚶🏻‍♀👐,😭😭
یکی بیاد بحالیم,هچی فقط امروز غذام شده قرصو اب🚶🏻‍♀
😐😒,عصمم پریع🙄🌿
👐,عه جدی میگی؟😑
😐😒,Ajb mn mitnm:/?
🚶🏻‍♀🍂,من خودم تهرانیم ولی خیلی دوست دارم خونه بگیریم کرج
🚶🏻‍♀️🚶🏻‍♀️,- اصن همی وجودت قشنگش کردع دگ!😂
گشنمه !👩🏿‍🦼,هیم💕
/,با نوشابه باشه یا دلستر؟🚶‍♂
😶,اره صددرصد😄
سلام,بیشور😐😹
چ گپه مزخرفی:/,- عی نگو دگ اینجوری عِ \nی دکتر برو بیب!
پری🚶‍♀,Az sigare 😐
😐😒,😂عافرییین
خوو,دوبارع این شروع کرد😕
🚶🏻‍♀🍂,چشم سوم خودتن باز کن🤘😶😅
😐😒,اهل کجای
😶,قلب نده هول میشم😂🚶‍♂
گفدم سلام,🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂
😐😒,ب سلامتی
سلام,هرجا:)
😶,کجا زندگی میکنم یا کجاییم؟
🚶🏻‍♀🍂,ببخشی 😬😬😑\nاها
🍿🧸,اهوم
😆😆,تازه اومدم😂😐
.... ..,مامان هاج؟
:(:,نکن خو😕
کی میتونه جان عزیزش 17 هزار تومن برام اللن کارت به کارت کنه بخدا خیلیییییییی لازم دارم خواهش میکنم 😔🙏,رع \nمنم کلن ن حوصلشو دارم ن وقتشو/:
😐😐😐,فدات
😝🖕,مرسی شما خوبی
- من اگ عز یک نانوایی دیگ نون بگیرم خجالت میکشم دیگ عز کنار اون نانوایی قبلی رد بشم \nبعد شما چجوری روتون میش برید و برگردید!,😔😔
☹️💔🚶🏿‍♂,قربونت
Mashad 😶,بفهمه ناراحت میشه☹️😶
کی کرونا گرفته😶,ناراحت چرا😕
الآنح ک بزنع بع صرم🚶🏼‍♂,نه ط خبی
عایا متاهلی هست,کی کیو خورد😐\nکی کیو کشت😐\nکی کیو برد😂
زیر آب میری,عع دوسال بزرگ تری😐امسال پ بدبختی
مهسا,🤘
😐,- میترصی!
موسا,هذیون بگم🚶🏼‍♂
حرفاتون بیخیاال چرا شبیه عکساتون نیستید🚶‍♀,- همه میگن تُ هم بگو!😂
صلم,دانشجوام
سلام,اره🚶🏻‍♀
خبین؟,عاهان😐😹\nوقتی خدت میدونی دگ نیآز نیص بگم!
🚶🏻‍♂🚶🏻‍♂🚶🏻‍♂,سلا
سلام,اوپس/:\nمنم همین مشکلو دارم/:
تنها ولی ..\n.,هیچ حال بد نیست
:)),Hmin alnshm chetm:/
Hi,🥺
☄🚶‍♂,نه کجایی هستی😂
سلام😐👋🏽,🤭🤭
🚶🏻‍♀,بدبخت شدم
۳,علیک کاکا
۳,دارم
دختره اسم پروفشو گذاشته\n\n\n\nمهسام ریدم دهن بدخام😕😕😕😕,مرسی
😐😐,کرد و عربم
👨🏽‍🦽🥀,بمیزی از شرت راحت شم به حق پنج تن ال عبا😕
🐏,😂😂😂😂
سلام,کرد کجا😐
دنیا دیگع مث من ندارع!🐕‍🦺🚶🏼‍♂,چرا😂
😐😐,سلا
👨🏽‍🦽🥀,😂😂
سلوم,🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀
عهههههه😆😆😆,درود
سلام,درود
🚶‍♂🚶‍♂,🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂💋
🐏,خبی
یکیی ک پرو ست کنیم🚶‍♀,مرسی
🙁,نه
چق بچه مدرسه ای😐😂,ع ط!
رل پی,من رو این میخوام کراش بزنم😂😁
/,خبی
🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀,اها😂🌴
👨🏽‍🦽🥀,حخ تو بمیر حلوات بخورم
رفيق ٦ پي !,بسح😐
سلام😐,😕😕
الان چیکار با ملیتش دارین؟\nادمه با نه؟؟؟\n😒🖕🏿🚶🏿‍♂,شکرررر ت خوبی
/,😂😂😂😂
رلی که رو غیرتی باشه,هان؟
mikhamesh!,هیچ تنهام همین🥺🥺
Pooooof,چن سالته تو؟
Khubin,ن
^^,اهان پ چی😑
اینجا چرا هیشکی جواب نمیده لاناتی ها,خوبی
🚶‍♀,خخخ
🚶🏻‍♀,رل دارین شما
🚶🏿‍♀,از لحاظ دعواییشیم ماو😂😂
🚶‍♂,گلی نیستم اسی صدا کن
👨🏽‍🦽🥀,سلام خوبی؟
🚶🏻🥬,اوکی اسی
سلام عزیزان خوبین,خو چرا خودت میگی😂
🚶‍♀🚶‍♀🚶‍♀,سوال سختی نبود
رحمت پ ر مادرشون از وقتی مدرسه هارو شرو‌کردن خیلی شاخ ت تل کم شدع☹️,بیا
من میخواسم بگم بدن درد خزش کردی,چطوری
🚶‍♀حجی من ک میدونم میبنبی مارو پرچات میریزه🚶‍♀,ن
/,اصل بنداز
:(:,استیکر را باز میکنی😕
دلبر جذاب من,شععت😂😂😂😂💦
سرعت نتا پایین اما سرعت کراشا بالاع🤣🤣🤣🤣,رع
دلبر که جان فرسود از او...,نچ
🚶🏿‍♀,ت بیا
رل میخام,😂😂
ط میگفدی خز میشد😒,شکرررر ت خوبی
🚶‍♀بوگسر باشه,منم خوبم شکر
ابانی باشه,ارع باو دختر چیع خداییع😂😂😂
:/,ن خوابم نمیبرع
رل موقت پی😂,عاره توام مخای بری؟☹️
🚶‍♂,اسفندی؟/:
😂😂😂,شکرش
🚶‍♀دلم کافه خاس,انا من لبنان
نح کبری🚶‍♀,عالی
رل ساعتی پی,/😑
بایتون:|,♡
🚶‍♀,ببخشیدمت😂😂\nدست خودم نیست الان تقریبا دوسال تا دم مطبش میرم بر میگردم:/\nمیدونم چرته حالم بد میشه حتئ فکرشو میکنم🤦🏼‍♀🚶🏻‍♀
سلام,🚶🏿‍♂😂
😐,ایوه
بازکردن استیکر,فک کنم بیخابی بت فشار اورده گلشیفته جان 😹
شیت,سلام.
🚶🏻‍♀,نه من ۳ بیدار شدم
لحنتی😕,🚶🏿‍♀💨🔪
🚶🏻💦,اصل
بازکردن ویس,Bos b rayat protoklaye bhdshti:/
اه🥺,اینم میشه حق با توعه اصن
دلم یع سفر خارجع میخاد,کرونا میگیری بازم :/
🚶‍♀بری کانادا,😑تاتین الا ایران
😐😐😐😐😐😐😐,لع
سلام,🐒\n💩\n\n\n\n😐🚶🏿‍♂
🚶‍♀🚶‍♀🚶‍♀🚶‍♀,کجا اصف
خودش ریپ نمی زنه بعد ب من میگه😒😒,حالا بودی\nچای پوس کندیم برات
شهرام 25بابل,نگفتی کوجا
🚶🏿‍♂,امی ایرانیه
🚶‍♀,خب باو قهر نکن ، مهدی 20
ای بابا😂,درود
سلام,سکوت
باید بازم تایپ کنم😂,N y plastik mizrm ro lopt bad mibosm:/
🚶‍♀,لع چیست؟/:
🚶🏻🥬,سکوت
🚶🏻🥬,ما خودمونم گیریم بابا
الان همه تنهان😂,تتکلمین الفارسیه
بیا باهم بریم دبی دبی😐,میدونم
🚶🚶🚶,میخوای بیام ضمانت کنم؟
😐,دگ کجاع رو میخاد؟ 😐😂
نگا کنید اسمش ممد باشه قدش ۱۸۰ وزنش ۷۰ بوگسر  ابان ماهی درحال تحصیل 😂لش پوش در غیر این صورت پ ی نیاید😂😂😂,😐😂🤘🏿
باااع,جقی/:😐💔🚶🏿‍♂
بااااع,یعنی لا \nنه\nنو
🚶‍♂,سلام داش خوبیع 😜
واقن‌زورع-🚶🏿‍♀,عکس خودتو میزازی😕 یکم بخندیم😕
😁,جونززز 😐😂😂😂
دنیا دیگع مث من ندارع!🐕‍🦺🚶🏼‍♂,نمد
Oqaba to syen,با من دعوا کردی یع بار؟ 😐
🚶🏿‍♂,Ops🤭
